,LINKS,PRODUCT_NAMES,RATINGS,NUMBER_OF_REVIEWS,PRICES
0,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),4.1,51353,1299
1,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),4.3,9221,565
2,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,Skybags Brat Black 46 Cms Casual Backpack,4.1,3364,669
3,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),3.9,461,499
4,https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",3.9,709,999
5,https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",4.1,7623,356
6,https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",3.9,2180,699
7,https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",3.8,628,599
8,https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M,DEIN KLEIDER Men's Nylon Messenger Bag,4.0,4395,349
9,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,3.9,2124,849
10,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",4.3,12103,498
11,https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",4.1,7623,299
12,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",3.9,675,899
13,https://www.amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,4.1,4857,512
14,https://www.amazon.in/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC,"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm",4.1,6796,1399
15,https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),4.3,4873,1188
16,https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,4.0,1983,239
17,https://www.amazon.in/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174,Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,4.1,3612,664
18,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,3.7,5921,249
19,https://www.amazon.in/Wesley-Waterproof-Backpack-Business-Dimensions/dp/B0BMQ4D59H,Wesley Ignite Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18.5 inches) (Compatible with 39.62cm(15.6inch laptop),5.0,3,599
20,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,4.4,5323,1039
21,https://www.amazon.in/Skybags-Polypropylene-Cms-Travel-DFACN1BLU_Blue/dp/B0B6CH21F9,Skybags Polypropylene 46 Cms Travel Bag(DFACN1BLU_Blue),4.0,23,564
22,https://www.amazon.in/Dell-Pro-Slim-Backpack-15/dp/B07PMQTB6T,"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)",4.4,373,1599
23,https://www.amazon.in/Skybags-Brat-Green-Casual-Backpack/dp/B08Z21W4TG,Skybags Brat Sea Green 46 Cms Casual Backpack,4.1,870,669
24,https://www.amazon.in/American-Tourister-AMT-SCH-BAG01/dp/B07CJCFNZG,American Tourister Casual Backpack,4.1,14187,1239
25,https://www.amazon.in/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit (Black),4.2,3668,529
26,https://www.amazon.in/Tabelito-Office-Laptop-Briefcase-Women/dp/B08FKXCJNQ,Tabelito® Laptop Bag For Men and women Briefcase 15.6 Inch (39.6 cm) Messenger Side Shoulder Travel bags for mens Water Resistant gifts office bag for men,4.0,2370,549
27,https://www.amazon.in/Capacity-Cosmetic-Portable-Cosmetics-Organizer/dp/B0BR123Z9J,"ZANIC'S Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer Bags (Pink)",4.6,25,749
28,https://www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,4.1,4857,512
29,https://www.amazon.in/Wildcraft-Packs18-Laptop-Backpack-Streak/dp/B07FC4D9B5,Wildcraft Work Packs'18 21 Ltrs Black Laptop Backpack (Streak Plus),4.4,1884,1444
30,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),4.0,17771,299
31,https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QL8633G,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",4.0,961,999
32,https://www.amazon.in/Lino-Perros-Womens-Tote-Pink/dp/B07JN9G66H,Lino Perros leatherette Tote Bag,4.3,2533,1123
33,https://www.amazon.in/Chic-Buddy-Waterproof-Swimsuits-Toiletries/dp/B09KSBHC18,"Chic Buddy Waterproof Wet Bag, Washable, Reusable for Travel, Beach, Pool, Stroller, Diapers, Dirty Gym Clothes, Wet Swimsuits, Toiletries",4.5,256,299
34,https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZHX3B1,"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (Black)",4.0,347,512
35,https://www.amazon.in/Boldfit-Travel-Accessories-Purse-Mobile/dp/B0BJZQ3ZR9,Boldfit Waist Bag for Men Travel Bag for Men Chest Bag for Men Travel Fanny Pack for Men Waist Bag for Women Side Bag for Men Travel Accessories / Pouch / Hand Purse. Mobile Bag / Money Bag - Black,4.9,275,399
36,https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZKHSDR,"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (GREY)",4.0,347,512
37,https://www.amazon.in/Motherly-Diaper-Bags-Travel-Basic/dp/B07PKQ3WJZ,"Motherly Diaper Bags for Mom Travel Basic Edition (Navy Blue,Pack of 1)",4.5,2470,1516
38,https://www.amazon.in/NETTIE-Cotton-Carry-Strap-Drawstring/dp/B08LBT1R9J,NETTIE Cotton Carry Bag with Strap and Drawstring for Yoga Mat- Big Size,4.1,978,198
39,https://www.amazon.in/Nivia-Deflate-5180BK-Polyester-Round/dp/B07222KX3S,NIVIA Deflate Round 01 Polyester Gym Bag/Unisex Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Carry Gym Accessories/Fitness Bag/Sports &Travel Bag/Gym kit Bag,4.2,7165,449
40,https://www.amazon.in/Amazon-Brand-Backpack-15-6-inch-Laptops/dp/B076QFBFRG,"Amazon Brand - Solimo Laptop Backpack for 15.6-inch Laptops (27 litres, Black)",3.8,1215,449
41,https://www.amazon.in/SIDRUM-Shoulder-Adjustable-Compatible-Mirrorless/dp/B09P74TZY8,"SIDRUM WF-18 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap & Rain Cover, Compatible for Nikon, Canon, Sony Mirrorless Cameras - Waterproof - Breathable - Anti Shock (Orange-Black)",4.4,808,664
42,https://www.amazon.in/FUR-JADEN-Backpack-Accessories-Organiser/dp/B0BSHBH9K2,"FUR JADEN 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls",4.9,41,1199
43,https://www.amazon.in/Baggit-Autumn-Winter-Leather-Womens-Handbag/dp/B08SCDTRKP,Baggit Women Hobo Handbag (ROSE),4.2,177,595
44,https://www.amazon.in/PETRICE-Multifunctional-Travel-Makeup-Organiser/dp/B07W22LC2D,PETRICE Multifunctional Travel Bag Extra Large Makeup Organiser with Hook (Navy Blue),4.2,1770,499
45,https://www.amazon.in/Wesley-Briefcase-Professional-Messenger-Resistant/dp/B08K7PN23C,Wesley Xenon Laptop Bag,4.0,1062,498
46,https://www.amazon.in/Fostelo-CATLIN-Womens-Handbag-Maroon/dp/B079MD5F7R,Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Woman Gifts | Wedding Gifts For Women | Women 3 Compartments Bag | Travel Purse Hobo Bag | 5 Pockets Shoulder Bag,4.1,8912,498
47,https://www.amazon.in/HOT-DELIVERY-BAG-Insulated-waterproof/dp/B08VJ4VWGZ,"HOT DELIVERY BAGS Insulated and Waterproof Door Hanging Bag for Milk Sachets and Bottles Storage, Durable and Light Weight (Sea Green)",4.5,250,649
48,https://www.amazon.in/Shalimar-Capacity-Travel-Storage-Duffel/dp/B09TPHFMX7,"SHALIMAR large capacity Travel bag / Storage bag / Move-in bags/ Duffel Bag - Strong, Durable , Foldable and Water Resistant ( Pack of 1 ) ( Blue )",4.1,268,247
49,https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y3KCN32,"Tabelito® Casual Laptop Bag 15.6-inch(39.6cm), 25 LTR Water Repellent Backpack Office College School Business Travel Bags for Men Women Boys & Girls (Blue)",4.2,1498,548
50,https://www.amazon.in/VIP-Endura-Puller-Brown-Duffle/dp/B0B527KJQZ,VIP Polypropylene 48 Cms Travel Bag(DFENDEBRN_Brown),4.3,334,899
51,https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",4.1,7623,254
52,https://www.amazon.in/American-Tourister-Polypropylene-LG4-002_Crimson/dp/B0BB2LKNXG,American Tourister KAMILIANT Polypropylene Hard 68 cms Luggage (LG4 (0) 00 002_Crimson)(46×68×28) cm Travel Bag,4.2,119,2899
53,https://www.amazon.in/Wildcraft-Turnaround-Polyester-Laptop-8903340000000/dp/B012D4QWES,Wildcraft Turnaround Polyester 14 inch 27 Ltrs Blue Laptop Bag (8903340000000),4.3,3183,1695
54,https://www.amazon.in/ALIZA-Womens-Tote-Bag-Black/dp/B08JJ8RQNR,ALIZA Women's Tote Bag,4.0,7623,426
55,https://www.amazon.in/WILD-MODA-Womens-Shoulder-Turquoise/dp/B099PLT91X,"WILD MODA Women's Shoulder Bag, Set of 1",4.3,3314,849
56,https://www.amazon.in/Lavie-Malgana-Womens-Tote-Black/dp/B07PKHC72N,Lavie Women's Malnov Tote Bag | Ladies Purse Handbag,4.1,4825,1013
57,https://www.amazon.in/EcoRight-Womens-Reusable-Ecofriendly-0202F01/dp/B06XRQRDCY,"Eco Right Large Tote Bag for Women with Zip, Stylish Cotton Handbags, Canvas Tote Bags for College",4.1,7076,519
58,https://www.amazon.in/HP-Lightweight-300-Grey-Backpack/dp/B08CY44PVD,HP Lightweight 300 Grey Laptops Backpack with Crafted Cable Pass Through and Padded Shoulder Straps,4.1,66,1002
59,https://www.amazon.in/Isle-Locada-Hidesign-Womens-Purple/dp/B07T97R1H1,Isle Locada by Hidesign Women's SLING BAG(AUBERGINE/AUBERG),4.5,341,1599
60,https://www.amazon.in/Wesley-briefcase-professional-Briefcase-messenger/dp/B0BJVDN7VT,Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Laptop Bag Tablet Business Carrying Handbag for Women and Men (Charcoal Black),4.0,1062,471
61,https://www.amazon.in/YuvKuz-TM-Infocus-Digitizer-Assembly/dp/B07MXNWTB2,Lavie Women's Nova Tote Bag | Ladies Purse Handbag,4.2,7318,824
62,https://www.amazon.in/Osaka-Pro-Waterproof-Accessories-Others-Made/dp/B081Z1TVPQ,"Osaka Pro Series-11 Waterproof DSLR Backpack Camera Bag, Lens Accessories Carry Case for Nikon, Canon, Olympus, Pentax & Others-Made in India",3.9,553,880
63,https://www.amazon.in/Baggit-Womens-Hobo-Handbag-Green/dp/B097C2T2DS,Baggit Women's PEPSI Sling Bag,4.3,1923,812
64,https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ,Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black,4.2,53029,1011
65,https://www.amazon.in/Baggit-Womens-Satchel-Handbag-Grey/dp/B098TKJG1L,Baggit Women's Sling Bag (Grey),4.3,777,837
66,https://www.amazon.in/SIDRUM-Shoulder-Adjustable-Compatible-Mirrorless/dp/B09SHTBFQF,"SIDRUM DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap & Rain Cover, Compatible for Nikon, Canon, Sony Mirrorless Cameras - Waterproof - Breathable - Anti Shock (Orange-Black-Large)",4.4,808,949
67,https://www.amazon.in/Fostelo-Style-Diva-Womens-Handbag/dp/B00Z0NMFKU,Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Woman Gifts | Wedding Gifts For Women | Women 2 Compartments Bag | Travel Purse Hobo Bag | 4 Pockets Shoulder Bag,3.9,6988,498
68,https://www.amazon.in/House-Quirk-Hanging-Toiletry-Organizer/dp/B072MH8KBB,"House of Quirk Hanging Travel Toiletry Bag, Waterproof Dopp Kit for Shaving Makeup Accessories, Men Cosmetic Organizer with Large Capacity, for Gym, Camping - Black",4.0,1921,399
69,https://www.amazon.in/ASTRID-Womens-Round-Sling-Pompoms/dp/B08VS8JBNK,ASTRID Women's Round Sling Bag with Pompoms (Brown),4.4,295,499
70,https://www.amazon.in/Gear-Beige-Casual-Backpack-BKPTRMP520522/dp/B00VWM11HQ,Gear Triumph 26L Water Resistant School Bag//Backpack/College Bag for Men/Women - Navy Blue,4.2,5373,769
71,https://www.amazon.in/Lavie-Spring-Summer-Womens-Sling/dp/B081KGQ3M4,Lavie Women's Medium Mamo Dome Sling Bag | Ladies Purse Handbag | Crossbody Sling Strap,4.0,1372,658
72,https://www.amazon.in/Storage-Disposable-Freezer-Feeding-Transparent/dp/B099ZZ57FT,"LuvLap Baby Breast Milk Storage Bags (Pack of 25), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent",4.3,516,308
73,https://www.amazon.in/Baggit-Womens-Laptop-Bag-Large/dp/B0BNTL7Z7J,Baggit Women's Laptop Bag - Large (Blue),5.0,1,1217
74,https://www.amazon.in/Veneer-Business-Briefcase-Resistant-Messenger/dp/B08Z619V6Z,"Veneer Laptop Bag 15.6 Inch, Business Briefcase for Men Women, 15inch Water Resistant Messenger Shoulder Bag with Strap, Durable Office Bag, for Computer/Notebook/MacBook",4.2,2883,1055
75,https://www.amazon.in/Amazon-Brand-Womens-Sling-Light/dp/B07YXBTD6Z,Amazon Brand - Eden & Ivy Women's Sling Bag,4.3,608,558
76,https://www.amazon.in/Leatherette-Executive-messenger-multiple-compartments/dp/B099NM8621,"Zipline Synthetic Leather Executive SMALL messenger bag Briefcase for upto 13"" Laptop/Tablet for men women with multiple compartments (1-Tan Bag)",3.9,335,938
77,https://www.amazon.in/PALAY%C2%AE-Crossbody-Mobile-Leather-Shoulder/dp/B09GYGRB56,PALAY Women's Small Cross-Body Phone Bag Stylish PU Leather Mobile Cell Phone Holder Pocket Purse Wallet Sling Bag Mini Shoulder Bags,4.3,1040,784
78,https://www.amazon.in/F-Gear-Tycoon-Laptop-Backpack/dp/B071XJ6XV5,F Gear Tycoon 27 Liters Laptop Backpack Sch Bag(Black),4.4,202,1168
79,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",4.3,9221,565
80,https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,4.5,6426,2079
81,https://www.amazon.in/ADISA-SL5022-black-women-girls/dp/B07NPXWFXX,ADISA Women's & Girls' Sling Bag,4.1,2770,495
82,https://www.amazon.in/Eco-Right-Womens-Stylish-Crossbody/dp/B0B1VF26KM,"Eco Right Crossbody Box Sling Bags for Women & Men, Side Purse for Women Stylish Latest",4.1,38,1699
83,https://www.amazon.in/Rabbit-Caramello-Backpack-Multi-Function-Waterproof/dp/B07FHXNPCH,"R for Rabbit Caramello Delight Diaper Bag Backpack -Multi-Function Waterproof Mother Bag for Travel with Baby - Large Capacity, Durable and Stylish.(Grey Black)",4.4,790,1999
84,https://www.amazon.in/Nivia-5177BK-Polyester-String-Black/dp/B071XM6PSM,Nivia Polyester String Bag,4.1,968,139
85,https://www.amazon.in/HP-Lightweight-100-Black-Backpack/dp/B08CY1YXCK,HP 100 Lightweight Backpack for 15.6-inch Laptop with Elastic and Padded Shoulder Straps (Black),4.0,516,899
